question,option 1,option 2,option 3,option 4,answer,explanation,category,option 5
Which interface provides non-guaranteed delivery of user plane PDUs between the NG-RAN node and the UPF? [3GPP Release 18],NG-C interface,Xn-C interface,NG-U interface,Xn-U interface,option 3: NG-U interface,The NG-U interface provides non-guaranteed delivery of user plane PDUs between the NG-RAN node and the UPF.,Standards specifications,NGAP interface
Which protocol sublayer is responsible for maintaining the PDCP sequence numbers? [3GPP Release 18],MAC sublayer,RLC sublayer,PDCP sublayer,SDAP sublayer,option 3: PDCP sublayer,The PDCP sublayer is responsible for maintaining the PDCP sequence numbers.,Standards specifications,
What problem can occur with the current paging procedures in 5G networks? [3GPP Release 17],Handover failures,Coverage holes,Low UE throughput,Repeated paging attempts,option 4: Repeated paging attempts,"The current paging procedures in 5G networks can result in repeated paging attempts, leading to wastage of network resources.",Standards specifications,Insufficient transmission power
What is the purpose of the Flow Based Charging (FBC) in 5G? [3GPP Release 15],To enable roaming Qos Flow Based Charging,To enable flow-based QoS,To enable charging for network slicing,To enable charging for PDU session connectivity,option 4: To enable charging for PDU session connectivity,The purpose of the Flow Based Charging (FBC) in 5G is to enable charging for PDU session connectivity.,Standards overview,None of the above
What is TRS used for in TRS occasions? [3GPP Release 17],To configure DRX parameters,To trigger PDCCH monitoring,To enable cross-slot scheduling,To track UE paging occasions,option 4: To track UE paging occasions,TRS in TRS occasions is used for tracking UE paging occasions.,Standards specifications,To indicate L1 availability
"In the NWDAF providing PDU Session traffic analytics, who requests or subscribes to the NWDAF? [3GPP Release 18]",ULF,SMF,PCF,UPF,option 3: PCF,"In the NWDAF providing PDU Session traffic analytics, the PCF (Policy Control Function) requests or subscribes to the NWDAF.",Standards specifications,
What is the purpose of UICC applications? [3GPP Release 18],To provide security features,To host multiple applications,To access the IMS services,To store provisioning parameters,option 2: To host multiple applications,UICC applications are used to host multiple applications.,Standards specifications,To address applications via the radio interface
What message does the gNB-CU send to establish the UE context in the gNB-DU? [3GPP Release 17],RRCReconfiguration,INITIAL CONTEXT SETUP REQUEST,UE CONTEXT SETUP REQUEST,UL RRC MESSAGE TRANSFER,option 3: UE CONTEXT SETUP REQUEST,The gNB-CU sends the UE CONTEXT SETUP REQUEST message to establish the UE context in the gNB-DU.,Standards specifications,INITIAL UE MESSAGE
What is the purpose of the Beam Peak Search Grid? [3GPP Release 18],To calculate the CDF of the EIRP/EIS distribution in 3D,To determine the total power radiated by the DUT in the TX beam peak direction,To determine the TX and RX beam peak direction,To perform 3D EIRP scans for TX beam peak direction,option 3: To determine the TX and RX beam peak direction,The Beam Peak Search Grid is used to determine the TX and RX beam peak direction.,Standards specifications,To perform 3D Throughput/RSRP/EIS scans for RX beam peak direction
What does the feature Scheduling of multiple DL/UL transport blocks with single DCI allow? [3GPP Release 16],Scheduling of multiple transport blocks in uplink,Scheduling of multiple transport blocks in downlink,HARQ bundling for uplink transmission,Reduced DCI overhead for contiguous UL/DL transmissions,option 5: All of the above,"The feature Scheduling of multiple DL/UL transport blocks with single DCI allows scheduling of multiple transport blocks in both uplink and downlink, HARQ bundling for uplink transmission, and reduced DCI overhead for contiguous UL/DL transmissions.",Standards overview,All of the above
When does the gNB request the UE UTRA-FDD capabilities? [3GPP Release 18],During NAS signalling,Before handover to UTRAN,When responding to the gNB,When the capabilities are the same,option 2: Before handover to UTRAN,The gNB always requests the UE UTRA-FDD capabilities before handover to UTRA-FDD.,Standards specifications,During NR capabilities request
What is the main role of the UTM (UAS Traffic Management) in the 3GPP network?,To manage UAS node authentication and credential information,To establish C2 communications between the UAV and the ground control station,To extend the coverage and capacity of the cellular network,To support local routing and proximity-based services,option 1: To manage UAS node authentication and credential information,The UTM's main role in the 3GPP network is to manage UAS node authentication and credential information.,Standards overview,To minimize RF interference in the network
What is the main function of a Radio Network Controller (RNC)? [3GPP Release 17],Control of one or more Node B,Communicating with Mobile Stations in a certain area,Serve one cell,Serve one or more UTRAN cells,option 1: Control of one or more Node B,A Radio Network Controller (RNC) is a network component in the PLMN with the functions for control of one or more Node B.,Standards specifications,Provide the E-UTRA user plane and control plane protocol terminations towards the UE
"In online charging without reservation, what happens if the OCS rejects the resource usage request? [3GPP Release 18]",The NE disallows the resource usage.,The OCS initiates a refund for the original resource usage.,The NE returns the resource usage authorisation to the network element.,The network element executes the resource usage according to the user request and the OCS authorisation.,option 1: The NE disallows the resource usage.,"In the case of event based charging without reservation, if the OCS rejects the resource usage request, the NE disallows the resource usage.",Standards specifications,
Which procedures are impacted by MUSIM according to TS 23.502 and TS 23.401? [3GPP Release 17],Service Request,Registration / Attach / Tracking Area Update,N2 Paging / S1 Paging,All of the above,option 4: All of the above,"The procedures impacted by MUSIM according to TS 23.502 and TS 23.401 are Service Request, Registration / Attach / Tracking Area Update, and N2 Paging / S1 Paging.",Standards overview,None of the above
